filename,class,xmin,ymin,xmax,ymax
train/hard_hat_workers4442.png,helmet,189,164,239,218
train/hard_hat_workers4442.png,helmet,165,136,216,187
train/hard_hat_workers4442.png,helmet,91,165,145,230
train/hard_hat_workers4442.png,helmet,231,129,287,206
train/hard_hat_workers4442.png,helmet,220,123,269,168
train/hard_hat_workers4442.png,helmet,219,0,269,16
train/hard_hat_workers2033.png,helmet,149,210,173,239
train/hard_hat_workers2033.png,helmet,237,208,261,235
train/hard_hat_workers2755.png,helmet,142,41,288,173
train/hard_hat_workers2755.png,helmet,142,0,289,42
train/hard_hat_workers4324.png,helmet,272,292,297,322
train/hard_hat_workers4324.png,helmet,393,292,414,341
train/hard_hat_workers4324.png,helmet,24,284,41,302
train/hard_hat_workers4324.png,helmet,44,261,59,276
train/hard_hat_workers4324.png,helmet,271,405,297,414
train/hard_hat_workers4324.png,helmet,392,386,414,414
val/hard_hat_workers318.png,helmet,255,80,309,146
val/hard_hat_workers318.png,helmet,195,102,235,152
val/hard_hat_workers318.png,helmet,255,0,310,59
val/hard_hat_workers318.png,helmet,195,0,236,37
train/hard_hat_workers2741.png,helmet,156,120,224,212
train/hard_hat_workers2741.png,helmet,258,132,329,220
train/hard_hat_workers2741.png,helmet,85,109,154,195
train/hard_hat_workers2741.png,helmet,277,296,342,345
train/hard_hat_workers2741.png,helmet,156,0,225,19
train/hard_hat_workers2741.png,helmet,84,0,154,30
train/hard_hat_workers2741.png,helmet,277,347,342,396
val/hard_hat_workers2999.png,helmet,192,158,214,187
val/hard_hat_workers2999.png,helmet,276,169,302,199
train/hard_hat_workers4330.png,helmet,227,107,276,140
train/hard_hat_workers4330.png,helmet,226,0,276,32
val/hard_hat_workers1248.png,helmet,93,70,203,178
val/hard_hat_workers1248.png,helmet,93,0,204,69
train/hard_hat_workers3339.png,helmet,199,118,278,207
train/hard_hat_workers3339.png,helmet,71,123,149,211
train/hard_hat_workers1506.png,helmet,289,65,338,114
train/hard_hat_workers1506.png,helmet,210,174,221,187
