filename,class,xmin,ymin,xmax,ymax
val/hard_hat_workers2868.png,helmet,230,164,268,206
train/hard_hat_workers3194.png,helmet,301,212,320,235
val/hard_hat_workers4873.png,head,167,184,188,206
train/hard_hat_workers4371.png,head,264,142,294,180
val/hard_hat_workers2610.png,helmet,212,85,245,133
train/hard_hat_workers4776.png,helmet,223,202,248,222
train/hard_hat_workers1397.png,helmet,306,113,338,158
train/hard_hat_workers1804.png,head,118,0,187,34
train/hard_hat_workers739.png,helmet,317,0,353,20
train/hard_hat_workers3816.png,helmet,282,178,379,277
train/hard_hat_workers703.png,helmet,169,69,280,189
train/hard_hat_workers3924.png,helmet,284,0,321,39
train/hard_hat_workers4175.png,helmet,125,95,184,154
train/hard_hat_workers3141.png,head,324,189,354,235
train/hard_hat_workers4332.png,helmet,184,273,198,291
val/hard_hat_workers330.png,helmet,236,85,323,174
train/hard_hat_workers2983.png,helmet,92,88,119,121
train/hard_hat_workers4458.png,head,239,173,254,199
train/hard_hat_workers3526.png,helmet,184,0,243,38
train/hard_hat_workers3659.png,helmet,173,200,198,224
train/hard_hat_workers4812.png,helmet,79,96,119,145
train/hard_hat_workers1539.png,head,280,127,303,165
train/hard_hat_workers2083.png,helmet,130,116,159,147
train/hard_hat_workers4964.png,helmet,230,200,251,218
val/hard_hat_workers3080.png,helmet,274,165,300,190
train/hard_hat_workers912.png,helmet,317,137,364,193
train/hard_hat_workers2096.png,helmet,281,0,295,20
train/hard_hat_workers2855.png,helmet,309,159,328,184
train/hard_hat_workers1465.png,helmet,188,0,330,58
train/hard_hat_workers3772.png,helmet,233,208,294,269
val/hard_hat_workers4202.png,head,332,132,352,157
train/hard_hat_workers3285.png,helmet,4,154,25,181
train/hard_hat_workers4804.png,helmet,259,14,304,75
train/hard_hat_workers3489.png,helmet,296,193,309,208
train/hard_hat_workers1298.png,helmet,204,162,219,190
val/hard_hat_workers4187.png,helmet,221,94,285,176
val/hard_hat_workers2362.png,head,281,206,296,224
train/hard_hat_workers4424.png,helmet,36,121,69,163
train/hard_hat_workers2209.png,helmet,204,158,226,180
train/hard_hat_workers137.png,helmet,375,129,414,199
val/hard_hat_workers4982.png,helmet,0,113,47,168
train/hard_hat_workers2257.png,helmet,172,194,205,234
train/hard_hat_workers4580.png,helmet,39,134,99,208
train/hard_hat_workers3022.png,head,181,169,205,202
train/hard_hat_workers477.png,helmet,0,174,25,215
val/hard_hat_workers4732.png,helmet,130,122,157,159
train/hard_hat_workers3143.png,helmet,197,6,226,30
